Ref,Val,Package,PosX,PosY,Rot,Side
"R4","5.1k","RC0805N_YAG",78.500000,46.250000,180.000000,top
"R5","0.1","RESC6331X89N",12.700000,20.600000,90.000000,top
"R6","10k","RC0805N_YAG",148.850900,66.441200,0.000000,top
"R7","4.7k","RC0805N_YAG",184.881800,70.500000,180.000000,top
"R8","4.7k","RC0805N_YAG",184.881800,61.500000,180.000000,top
"R9","10k","RC0805N_YAG",290.000000,57.000000,0.000000,top
"R12","1","RC0805N_YAG",44.000000,25.000000,0.000000,top
"R13","1","RC0805N_YAG",132.927800,25.075000,0.000000,top
"R14","1","RC0805N_YAG",227.500000,26.000000,0.000000,top
"R15","1","RC0805N_YAG",44.000000,21.500000,0.000000,top
"R16","1","RC0805N_YAG",133.572200,21.575000,0.000000,top
"R17","1","RC0805N_YAG",227.572200,22.725000,0.000000,top
"R18","1M","RC0805N_YAG",48.000000,31.500000,180.000000,top
"R19","1M","RC0805N_YAG",138.000050,32.075000,180.000000,top
"R20","1M","RC0805N_YAG",232.562000,33.725000,180.000000,top
"R21","1","RC0805N_YAG",73.427800,25.157400,0.000000,top
"R22","1","RC0805N_YAG",166.649100,25.450000,0.000000,top
"R23","1","RC0805N_YAG",257.427800,25.400000,0.000000,top
"R24","1","RC0805N_YAG",73.427800,21.775000,0.000000,top
"R25","1","RC0805N_YAG",167.572200,21.950000,0.000000,top
"R26","1","RC0805N_YAG",257.427800,22.000000,0.000000,top
"R27","1M","RC0805N_YAG",77.500000,32.275000,180.000000,top
"R28","1M","RC0805N_YAG",171.843000,32.450000,180.000000,top
"R29","1M","RC0805N_YAG",261.584200,32.500000,180.000000,top
"R30","1","RC0805N_YAG",102.927800,25.000000,0.000000,top
"R31","1","RC0805N_YAG",198.000000,25.390750,0.000000,top
"R32","1","RC0805N_YAG",102.927800,21.500000,0.000000,top
"R33","1","RC0805N_YAG",198.350900,22.075000,0.000000,top
"R34","1M","RC0805N_YAG",107.072200,32.000000,180.000000,top
"R35","1M","RC0805N_YAG",202.414200,32.575000,180.000000,top
"R36","330","RC0805N_YAG",225.800300,64.000000,0.000000,top
"R37","330","RC0805N_YAG",225.795000,55.000000,0.000000,top
"R38","330","RC0805N_YAG",203.795000,55.000000,0.000000,top
"R39","330","RC0805N_YAG",203.795000,64.000000,0.000000,top
"R40","330","RC0805N_YAG",100.288000,64.000000,0.000000,top
"R41","330","RC0805N_YAG",100.288000,55.000000,0.000000,top
"R42","330","RC0805N_YAG",78.576000,64.000000,0.000000,top
"R43","330","RC0805N_YAG",78.576000,55.000000,0.000000,top
"R44","2.4k","RC0805N_YAG",33.317600,41.000000,180.000000,top
"R45","750","RC0805N_YAG",42.084200,94.800000,0.000000,top
"R46","330","RC0805N_YAG",116.076900,66.000000,180.000000,top
"R47","330","RC0805N_YAG",162.000000,40.500000,180.000000,top
"R48","5.1k","RC0805N_YAG",288.200000,19.900000,180.000000,top
"R49","10k","RC0805N_YAG",288.200000,23.700000,0.000000,top
"R50","10k","RC0805N_YAG",288.200000,32.800000,0.000000,top
"RN1","746X101103JP","746X101103JP-3",149.374999,85.780000,-90.000000,top
"RN2","10k","RESCAXS80P320X160X70-8N",215.115000,70.240000,0.000000,top
"RN3","746X101103JP","746X101103JP-3",160.499998,85.780000,-90.000000,top
"RN4","10k","RESCAXS80P320X160X70-8N",89.608000,70.445000,0.000000,top
"RV1","10k","POT_TC33_3X3P8_BRN",62.500000,53.000000,-90.000000,top
"SW1","TS02-66-70-BK-160-LCR-D","SMT_FS",128.000000,65.000000,0.000000,top
"U1","L7812ABD2T-TR","DPAK_BD2T-TR_STM",11.021300,34.460000,90.000000,top
"U2","LM7805MPX","SOT-223-3_TabPin2",23.500000,90.500000,0.000000,top
"U3","MCP1825ST-3302E/DB","SOT-223-3_TabPin2",115.427800,47.750000,0.000000,top
"U4","MAX3232","TSSOP-16_4.4x5mm_P0.65mm",186.000000,50.000000,0.000000,top
"U5","INA213AIDCKR","DCK0006A_L",24.700000,22.700000,0.000000,top
"U6","STM32F103RBTx","LQFP64-10x10mm",154.000000,53.000000,0.000000,top
"U7","AT24C01D-STUM-T","SOT-23-5",184.744300,66.000000,0.000000,top
"U8","ULN2003ADR","D0016A_L",149.375001,77.405000,0.000000,top
"U9","ULN2003ADR","D0016A_L",160.500000,77.500000,0.000000,top
"U10","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",78.576000,59.000000,0.000000,top
"U11","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",78.576000,68.000000,0.000000,top
"U12","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",100.288000,59.000000,0.000000,top
"U13","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",100.288000,68.000000,0.000000,top
"U14","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",203.795000,68.000000,0.000000,top
"U15","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",203.800300,59.000000,0.000000,top
"U16","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",225.795000,59.000000,0.000000,top
"U17","TLP170AM","MFSOP6-4_4.4x3.6mm_P1.27mm",225.795000,68.000000,0.000000,top
"U18","LMV321B-TR","S5TSOT23-5-A_TPK-M",89.710500,48.950001,0.000000,top
"Y1","8MHz","XTAL_ABM3-8.000MHZ-D2Y-T_ABR-M",133.500000,55.500000,180.000000,top
